feature_label,linear,mlp
vision_mean_layer_-1,0.24573695292392522,0.18881529352977766
vision_mean_layer_12,0.2522807649686827,0.1891994813972331
lm_visual_lasttok_layer_-1,0.3873744605386511,0.18918973577360734
lm_visual_lasttok_layer_16,0.3331352781425131,0.1891914185480023
lm_visual_mean_layer_-1,0.3715695756758359,0.18920295606268214
lm_visual_mean_layer_16,0.4217594086278415,0.18912702555774796
lm_answer_lasttok_layer_-1,0.3523589926408538,0.18919144887873468
lm_answer_lasttok_layer_16,0.28233289401581946,0.18919004954344837
lm_answer_mean_layer_-1,0.31707222326427487,0.18919609613875124
lm_answer_mean_layer_16,0.2881197989621061,0.18918429241112783
answer_gen_entropy_max,0.18448104873193916,0.17903357649103124
answer_gen_entropy_mean,0.1850500630465805,0.17790520080226532
answer_gen_entropy_min,0.18848650622452404,0.18902974205871
answer_gen_entropy_std,0.1855075831742997,0.18746132667817123
answer_gen_neglogp_mean,0.1845552033566414,0.17944339694494896
answer_gen_neglogp_std,0.18539587762338897,0.18546642976027009
answer_gen_negp_max,0.18455775922283213,0.18674680870686863
answer_gen_negp_mean,0.18484456181948913,0.18193219163527724
answer_gen_negp_min,0.18896316800345767,0.18907657899755112
answer_gen_negp_std,0.18569656540738774,0.18713808952705235
lm_fullspan_lasttok_layer_-1,0.38203950427102706,0.18921206917957212
lm_fullspan_lasttok_layer_16,0.3845757983677776,0.18908394064674985
lm_fullspan_mean_layer_-1,0.2812216191004354,0.18922121484651633
lm_fullspan_mean_layer_16,0.38089181208018713,0.18918626290475224
lm_question_including_lasttok_layer_-1,0.38203950427102706,0.18921206917957212
lm_question_including_lasttok_layer_16,0.3845757983677776,0.18908394064674985
lm_question_including_mean_layer_-1,0.2439513972676392,0.18919263399661856
lm_question_including_mean_layer_16,0.2500955308688448,0.1891920698132921
lm_question_lasttok_layer_-1,0.3972925306000608,0.18919216392310798
lm_question_lasttok_layer_16,0.38249276367062374,0.1892083707853412
lm_question_mean_layer_-1,0.24480599355190358,0.18920907779788296
lm_question_mean_layer_16,0.2554543033136544,0.18914179445792598
