feature_label,linear,mlp
vision_mean_layer_-1,0.2266186717616187,0.009598314762115479
vision_mean_layer_12,0.24653137772281963,0.0069588422775268555
lm_visual_lasttok_layer_-1,0.38679191595248674,0.00621718168258667
lm_visual_lasttok_layer_16,0.3328861522501231,0.006352782249450684
lm_visual_mean_layer_-1,0.3715483668822175,0.00759202241897583
lm_visual_mean_layer_16,0.42284075924283304,0.0033287405967712402
lm_answer_lasttok_layer_-1,0.3526484275046274,0.006355464458465576
lm_answer_lasttok_layer_16,0.28267865373518175,0.006243705749511719
lm_answer_mean_layer_-1,0.317144284350306,0.006711721420288086
lm_answer_mean_layer_16,0.28820603132247924,0.005763530731201172
answer_gen_entropy_max,0.00667184591293335,0.025371750672658285
answer_gen_entropy_mean,0.006788432598114014,0.05468322462505764
answer_gen_entropy_min,0.00284604008992513,0.01090306043624878
answer_gen_entropy_std,0.006582319736480713,0.011163949966430664
answer_gen_neglogp_mean,0.006770381636089749,0.0860389883518219
answer_gen_neglogp_std,0.006680548191070557,0.023718178272247314
answer_gen_negp_max,0.006669282913208008,0.013324141502380371
answer_gen_negp_mean,0.006768135143650903,0.013752457883622914
answer_gen_negp_min,0.0026819485425949095,0.003236830234527588
answer_gen_negp_std,0.003230750560760498,0.016414523124694824
lm_fullspan_lasttok_layer_-1,0.38192366591264076,0.007811367511749268
lm_fullspan_lasttok_layer_16,0.38450000096384773,0.0031049251556396484
lm_fullspan_mean_layer_-1,0.2815229664789254,0.008307814598083496
lm_fullspan_mean_layer_16,0.3799921286350323,0.005932986736297607
lm_question_including_lasttok_layer_-1,0.38192366591264076,0.007811367511749268
lm_question_including_lasttok_layer_16,0.38450000096384773,0.0031049251556396484
lm_question_including_mean_layer_-1,0.2442600502438274,0.006446182727813721
lm_question_including_mean_layer_16,0.25051603475757617,0.00640416145324707
lm_question_lasttok_layer_-1,0.39728460852834135,0.006411433219909668
lm_question_lasttok_layer_16,0.38288721179368435,0.0075724124908447266
lm_question_mean_layer_-1,0.24511528075495476,0.0083884596824646
lm_question_mean_layer_16,0.25610579515269233,0.008742690086364746
