feature_label,linear,mlp
vision_mean_layer_-1,0.7351567199848368,0.7547997684326766
vision_mean_layer_12,0.5965026947514154,0.6378220876906722
lm_visual_lasttok_layer_-1,0.4994967943171236,0.5257510486456196
lm_visual_lasttok_layer_16,0.4895629887842303,0.5315990764089759
lm_visual_mean_layer_-1,0.4994967943171236,0.5257510486456196
lm_visual_mean_layer_16,0.4895629887842303,0.5315990764089759
lm_prompt_lasttok_layer_-1,0.8222289436492043,0.8944298169711653
lm_prompt_lasttok_layer_16,0.8276967343650853,0.8940831870586005
lm_prompt_mean_layer_-1,0.6291397294535506,0.7577174085473889
lm_prompt_mean_layer_16,0.6698691304688208,0.7690036115437546
lm_answer_lasttok_layer_-1,0.8235321536585165,0.9118769417455725
lm_answer_lasttok_layer_16,0.7926329039860895,0.8636258518958029
lm_answer_mean_layer_-1,0.7764015591650392,0.8970032736697239
lm_answer_mean_layer_16,0.8126554169035904,0.9362681246755173
answer_gen_entropy_max,0.7939021205715839,0.7939022493345529
answer_gen_entropy_mean,0.7609923659010936,0.7609924946640626
answer_gen_entropy_min,0.5492850564908898,0.543345607019539
answer_gen_entropy_std,0.8070238396911337,0.8070238396911337
answer_gen_neglogp_mean,0.7559917272367673,0.7559918559997363
answer_gen_neglogp_std,0.7764620777604719,0.776462077760472
answer_gen_negp_max,0.7685417387739293,0.7685416100109603
answer_gen_negp_mean,0.7502329322109322,0.7502330609739012
answer_gen_negp_min,0.537940008817688,0.5689798676522699
answer_gen_negp_std,0.7777983798528187,0.7777983798528187
