feature_label,linear,mlp
vision_mean_layer_-1,0.5561053734332122,0.5657002748316811
vision_mean_layer_12,0.5285994142830066,0.5081270035517977
lm_visual_lasttok_layer_-1,0.47786500181298247,0.5
lm_visual_lasttok_layer_16,0.4883719313209226,0.5
lm_visual_mean_layer_-1,0.47786500181298247,0.5
lm_visual_mean_layer_16,0.4883719313209226,0.5
lm_prompt_lasttok_layer_-1,0.5348663079845402,0.5
lm_prompt_lasttok_layer_16,0.6324880816995888,0.5339286560442368
lm_prompt_mean_layer_-1,0.5959591862592399,0.5556366762260294
lm_prompt_mean_layer_16,0.594306899840952,0.5429294451037109
lm_answer_lasttok_layer_-1,0.4600357085465648,0.6876930156905403
lm_answer_lasttok_layer_16,0.5021932196510832,0.6411843463373632
lm_answer_mean_layer_-1,0.46349402436813436,0.5
lm_answer_mean_layer_16,0.6591302988537006,0.5
answer_gen_entropy_max,0.793901991808615,0.7793649101337486
answer_gen_entropy_mean,0.7609918508492175,0.7438139694430024
answer_gen_entropy_min,0.5492851852538587,0.5409737931304441
answer_gen_entropy_std,0.8070239684541027,0.7544118056070608
answer_gen_neglogp_mean,0.7559917272367673,0.7309554418321011
answer_gen_neglogp_std,0.7764619489975031,0.6360756755420406
answer_gen_negp_max,0.7685423825887745,0.7067622963484883
answer_gen_negp_mean,0.7502328034479633,0.6725727665290449
answer_gen_negp_min,0.5379415539733162,0.5
answer_gen_negp_std,0.7777978648009427,0.7193536407987013
