feature_label,linear,mlp
vision_mean_layer_-1,0.25234287998355026,0.1912223903845388
vision_mean_layer_12,0.25251225197146127,0.19191751047863181
lm_visual_lasttok_layer_-1,0.34307423498190887,0.19176209601738775
lm_visual_lasttok_layer_16,0.3042251947501027,0.1917819563061633
lm_visual_mean_layer_-1,0.34307423498190887,0.19176209601738775
lm_visual_mean_layer_16,0.3042251947501027,0.1917819563061633
lm_prompt_lasttok_layer_-1,0.3362831300032054,0.19177796094552846
lm_prompt_lasttok_layer_16,0.32490823560572685,0.19076891560503778
lm_prompt_mean_layer_-1,0.28469267757015027,0.19110384636314204
lm_prompt_mean_layer_16,0.32942451002961354,0.19137802899729275
lm_answer_lasttok_layer_-1,0.3510852834434374,0.1917470432553731
lm_answer_lasttok_layer_16,0.2768631935225311,0.19174233432991286
lm_answer_mean_layer_-1,0.4626595289149183,0.19179292794660474
lm_answer_mean_layer_16,0.311296079809784,0.19176209607022873
answer_gen_entropy_max,0.18717819288478676,0.18056535171278826
answer_gen_entropy_mean,0.18765500790261208,0.1829450639849859
answer_gen_entropy_min,0.19121056388244562,0.1917920120007603
answer_gen_entropy_std,0.18827702279420608,0.18659796914521684
answer_gen_neglogp_mean,0.18696912869494012,0.18919233475805175
answer_gen_neglogp_std,0.18793887613301583,0.1880002373182182
answer_gen_negp_max,0.18704099678401406,0.1865720031320626
answer_gen_negp_mean,0.18724819473552365,0.1905570092036369
answer_gen_negp_min,0.19170488723626372,0.19179593132320025
answer_gen_negp_std,0.18830727452927448,0.1864946095655996
