feature_label,linear,mlp
vision_mean_layer_-1,,0.03049448555707931
vision_mean_layer_12,,0.06726389684776188
lm_visual_lasttok_layer_-1,,0.016069987522231207
lm_visual_lasttok_layer_16,,0.017117857933044434
lm_visual_mean_layer_-1,,0.009854793548583984
lm_visual_mean_layer_16,,0.017117857933044434
lm_prompt_lasttok_layer_-1,,0.22234766923529284
lm_prompt_lasttok_layer_16,,0.17088783753298628
lm_prompt_mean_layer_-1,,0.03765822111235725
lm_prompt_mean_layer_16,,0.10758791638783512
lm_answer_lasttok_layer_-1,,0.13792821605989142
lm_answer_lasttok_layer_16,,0.14996211120991212
lm_answer_mean_layer_-1,,0.18813572557250416
lm_answer_mean_layer_16,,0.16233833524290586
answer_gen_entropy_max,,0.1463471771745441
answer_gen_entropy_mean,,0.029683925482961865
answer_gen_entropy_min,,0.037750016781363895
answer_gen_entropy_std,,0.012189526948663924
answer_gen_neglogp_mean,,0.09493545772133682
answer_gen_neglogp_std,,0.029730378422472212
answer_gen_negp_max,,0.1581063975201819
answer_gen_negp_mean,,0.026563914762602912
answer_gen_negp_min,,0.03897056976907799
answer_gen_negp_std,,0.11768362699985438
