feature_label,linear,mlp
vision_mean_layer_-1,0.2241525319768182,0.16231313210429874
vision_mean_layer_12,0.24961986815464413,0.1831479344173526
lm_visual_lasttok_layer_-1,0.3427339645353615,0.19172090212715434
lm_visual_lasttok_layer_16,0.30513577279469645,0.19157664525382062
lm_visual_mean_layer_-1,0.3427339645353615,0.19172090212715434
lm_visual_mean_layer_16,0.30513577279469645,0.19157664525382062
lm_prompt_lasttok_layer_-1,0.19948027473180852,0.11140752515048845
lm_prompt_lasttok_layer_16,0.24020023332208607,0.11218356415100977
lm_prompt_lasttok_layer_16 + answer_gen_entropy_std,,0.11247879327506038
lm_prompt_mean_layer_-1,0.2486003926354097,0.16264708437923844
lm_prompt_mean_layer_16,0.27296395277511987,0.156695379116011
lm_answer_lasttok_layer_-1,0.16254586024962842,0.09826533934960129
lm_answer_lasttok_layer_16,0.19127766850424258,0.12986305873867468
lm_answer_mean_layer_-1,0.22117351930826268,0.09505717551454584
lm_answer_mean_layer_16,0.16620286247620347,0.08539964485887094
lm_answer_mean_layer_16 + answer_gen_entropy_std,,0.08370965997959283
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16,,0.08731371963541981
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16 + answer_gen_entropy_std,,0.0882108739266793
answer_gen_entropy_max,0.1495348465305271,0.1499678854506912
answer_gen_entropy_mean,0.16239799775764452,0.16198277346631315
answer_gen_entropy_min,0.1911469617633955,0.1907757003362297
answer_gen_entropy_std,0.14365196909676206,0.14288918161434486
answer_gen_neglogp_mean,0.163588913936987,0.16211839390139207
answer_gen_neglogp_std,0.15286638186121662,0.15235933983790959
answer_gen_negp_max,0.15753740812024325,0.15727663594991603
answer_gen_negp_mean,0.16625342824568984,0.16461724032324257
answer_gen_negp_min,0.19174634866046567,0.1904635397149316
answer_gen_negp_std,0.15178712748043927,0.15121570636406012
