feature_label,linear,mlp
vision_mean_layer_-1,0.21440771521793472,0.03049448555707931
vision_mean_layer_12,0.23744437052930398,0.01665250341097514
lm_visual_lasttok_layer_-1,0.34225031961992175,0.016069987522231207
lm_visual_lasttok_layer_16,0.306088945521585,0.010878503322601318
lm_visual_mean_layer_-1,0.34225031961992175,0.016069987522231207
lm_visual_mean_layer_16,0.306088945521585,0.010878503322601318
lm_prompt_lasttok_layer_-1,0.20001492783546237,0.024163884348339503
lm_prompt_lasttok_layer_16,0.2402899227766579,0.034655520040127966
lm_prompt_lasttok_layer_16 + answer_gen_entropy_std,,0.021556921068165036
lm_prompt_mean_layer_-1,0.24896376997035824,0.03765822111235725
lm_prompt_mean_layer_16,0.27338874693509807,0.02188567006919119
lm_answer_lasttok_layer_-1,0.1610831264102211,0.034084544557664125
lm_answer_lasttok_layer_16,0.18869409921910202,0.05221799795493846
lm_answer_mean_layer_-1,0.22081984072099697,0.016684810368758112
lm_answer_mean_layer_16,0.16641207355699347,0.041074327736679045
lm_answer_mean_layer_16 + answer_gen_entropy_std,,0.022242136360870468
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16,,0.027024255623523556
lm_answer_mean_layer_16 + lm_prompt_lasttok_layer_16 + answer_gen_entropy_std,,0.03627333263390594
answer_gen_entropy_max,0.022918333606587515,0.030653726054562465
answer_gen_entropy_mean,0.02399338245391846,0.029683925482961865
answer_gen_entropy_min,0.009348953366279602,0.023195938693152535
answer_gen_entropy_std,0.025429221343663003,0.012189526948663924
answer_gen_neglogp_mean,0.028263949298196367,0.029448177268107736
answer_gen_neglogp_std,0.023259473900000254,0.029730378422472212
answer_gen_negp_max,0.040703499178091684,0.040525590143269966
answer_gen_negp_mean,0.03273134077257581,0.026563914762602912
answer_gen_negp_min,0.008155524730682373,0.008950591087341309
answer_gen_negp_std,0.021672943645053438,0.01923556383781963
