feature_label,linear,mlp
vision_mean_layer_-1,0.3521223204820934,0.3402504428409868
vision_mean_layer_12,0.40622608779215574,0.396693774746524
lm_visual_lasttok_layer_-1,0.41580977051790485,0.4429398586683803
lm_visual_lasttok_layer_16,0.4240063972838041,0.43760752999782565
lm_visual_mean_layer_-1,0.41580977051790485,0.4429398586683803
lm_visual_mean_layer_16,0.4240063972838041,0.43760752999782565
lm_prompt_lasttok_layer_-1,0.36293247662128936,0.10908813826243084
lm_prompt_lasttok_layer_16,0.31027732241940176,0.15188673989060852
lm_prompt_mean_layer_-1,0.44676994570587863,0.3815531326101886
lm_prompt_mean_layer_16,0.4671848634590603,0.35092445134454303
lm_answer_lasttok_layer_-1,0.240010534054729,0.13402176577928995
lm_answer_lasttok_layer_16,0.43696931652169185,0.24303191728144885
lm_answer_mean_layer_-1,0.31329199575907685,0.13530890137453874
lm_answer_mean_layer_16,0.29600190204281046,0.11664575617843204
answer_gen_entropy_max,0.20946728025956288,0.18462789027558432
answer_gen_entropy_mean,0.20907941158778137,0.17244965373145207
answer_gen_entropy_min,0.42964522127351823,0.42365174762407937
answer_gen_entropy_std,0.20966363088703818,0.19406994255880514
answer_gen_neglogp_mean,0.21314824845476285,0.174637614171952
answer_gen_neglogp_std,0.21326841029855942,0.17089719679289395
answer_gen_negp_max,0.2125955257297804,0.18465989816437167
answer_gen_negp_mean,0.21252746326828167,0.18739413630631233
answer_gen_negp_min,0.43261511541075176,0.3874024760391977
answer_gen_negp_std,0.21267016666320462,0.18640341791676152
