feature_label,linear,mlp
vision_mean_layer_-1,0.20803232142951952,0.15288023010860036
vision_mean_layer_12,0.20764381727620737,0.15289088705582404
lm_visual_lasttok_layer_-1,0.30270450533325993,0.1528216708655381
lm_visual_lasttok_layer_16,0.23429905801863218,0.15286952134833406
lm_visual_mean_layer_-1,0.27878938742834536,0.15280853614433487
lm_visual_mean_layer_16,0.27988957901350897,0.15291124155272298
lm_answer_lasttok_layer_-1,0.22809019216998894,0.14800385955109524
lm_answer_lasttok_layer_16,0.3633332584924366,0.15184320719236166
lm_answer_mean_layer_-1,0.35487338756002595,0.1521176384456122
lm_answer_mean_layer_16,0.32462181684686175,0.1488546734091951
answer_gen_entropy_max,0.14583838805185623,0.15087953593896988
answer_gen_entropy_mean,0.14647844196552068,0.14187611205809153
answer_gen_entropy_min,0.1517772173481201,0.15125269732665067
answer_gen_entropy_std,0.14647672659722133,0.1421557137622169
answer_gen_neglogp_mean,0.1460890792050765,0.15172416356517307
answer_gen_neglogp_std,0.1454726334012563,0.15098320774326277
answer_gen_negp_max,0.14616352996571147,0.15078455948117953
answer_gen_negp_mean,0.14767370277376318,0.15099190975451351
answer_gen_negp_min,0.15165096674837283,0.14966145633761563
answer_gen_negp_std,0.1482124435367869,0.1522453112536995
lm_fullspan_lasttok_layer_-1,0.2790798893096435,0.15054186378323023
lm_fullspan_lasttok_layer_16,0.24489303658628345,0.1524177275857522
lm_fullspan_mean_layer_-1,0.27828150021644377,0.1526958236869295
lm_fullspan_mean_layer_16,0.32875726650751647,0.15290309754177112
lm_question_including_lasttok_layer_-1,0.2790798893096435,0.15054186378323023
lm_question_including_lasttok_layer_16,0.24489303658628345,0.1524177275857522
lm_question_including_mean_layer_-1,0.28033199230978145,0.1526881232709434
lm_question_including_mean_layer_16,0.23986674737352043,0.15218851536660646
lm_question_lasttok_layer_-1,0.23546434969673702,0.15041794062995198
lm_question_lasttok_layer_16,0.2683002648143033,0.1528204238755786
lm_question_mean_layer_-1,0.242565316795858,0.152517664914404
lm_question_mean_layer_16,0.23743044421892262,0.15213283159543034
