feature_label,linear,mlp
vision_mean_layer_-1,0.23167047032760513,0.0037863850593566895
vision_mean_layer_12,0.23266476512971568,0.0006709694862365723
lm_visual_lasttok_layer_-1,0.32949895240085103,0.0006611943244934082
lm_visual_lasttok_layer_16,0.2608958333832363,0.00012570619583129883
lm_visual_mean_layer_-1,0.30586243127871976,0.006129086017608643
lm_visual_mean_layer_16,0.30672591463315074,0.0036344528198242188
lm_prompt_lasttok_layer_-1,0.262701582866685,0.0018898248672485352
lm_prompt_lasttok_layer_16,0.26641585092490855,0.00614553689956665
lm_prompt_mean_layer_-1,0.309508510699189,0.005247592926025391
lm_prompt_mean_layer_16,0.30986548733524505,0.007120370864868164
lm_answer_lasttok_layer_-1,0.25503196882017426,0.07751463542435681
lm_answer_lasttok_layer_16,0.39043691449528517,0.00132066011428833
lm_answer_mean_layer_-1,0.38157708310447835,0.005034208297729492
lm_answer_mean_layer_16,0.351641524201855,0.04678693710515665
answer_gen_entropy_max,0.0019095500757009554,0.010670661926269531
answer_gen_entropy_mean,0.0042871961278235305,0.14624658360434994
answer_gen_entropy_min,0.004711047448892161,0.01872355551586049
answer_gen_entropy_std,0.0033192504590116878,0.13680301229329578
answer_gen_neglogp_mean,0.007050291755993642,0.01587623357772827
answer_gen_neglogp_std,0.007596369238867276,0.00945901870727539
answer_gen_negp_max,0.0009167790412902832,0.024967610836029053
answer_gen_negp_mean,0.0007753097025577113,0.008022785186767578
answer_gen_negp_min,0.004730609695531913,0.04030774385636071
answer_gen_negp_std,0.0007301568984985352,0.007842481136322021
lm_fullspan_lasttok_layer_-1,0.306126606826242,0.026478862670877203
lm_fullspan_lasttok_layer_16,0.27197365437189913,0.0020796656608581543
lm_fullspan_mean_layer_-1,0.3052296295956399,0.013786849434595095
lm_fullspan_mean_layer_16,0.35546703636999644,0.0020242929458618164
lm_question_including_lasttok_layer_-1,0.306126606826242,0.026478862670877203
lm_question_including_lasttok_layer_16,0.27197365437189913,0.0020796656608581543
lm_question_including_mean_layer_-1,0.30721163824702225,0.004206717014312744
lm_question_including_mean_layer_16,0.26689188220444743,0.0008698105812072754
lm_question_lasttok_layer_-1,0.2620598546057196,0.06442865901728312
lm_question_lasttok_layer_16,0.2952140166045092,0.0006206035614013672
lm_question_mean_layer_-1,0.2693699129245995,0.034935019347266845
lm_question_mean_layer_16,0.2641728160312896,0.021113596504849938
